Obj Type,Object Name,Object description,Long Description,CMOD FM/ WF Template Name,Description,Process area,Level 1 Process,Module,Sub Process,Theme
TABL,ZMPMMATERIAL,Material,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMJOBCODETYPE,Job Code Type,,,,EAM,Plan,PM,Plan,Work Order
TABL,ZMPM_MULTILVLLOC,CAR: Multilevel Locations,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPM_INTRCHNGRUL,CAR: AAR Interchange Rule,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPM_SCRAP_LOG,EOTD Scrapping Process Log,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPM_RI_CALC,EAM EOTD: RI Calculation,,,,EAM,Other,PM,Other,Equipment
TABL,ZMPM_ADTPAD_COND,CAR: MD Report - Adapter Pad Condition Code,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPMWHEELCLASS,Wheel Class,,,,EAM,Other,PM,Other,Work Order
TABL,ZMPM_ELOR_HDR,ZMPM_ELOR_HDR,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPM_DEFECT_LOC,CAR: Location of Brake Defect,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPMJOBCDMAT,Job Code Material,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_REPFACTYPE,CAR: Repair Facility Type,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_PROCCODE,CAR: Process Code,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPMWHEELSIZE,Wheel Size,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMREP_MATRRULE,Repair: Material Reservation Rule,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMPRICEMAST,Price Master,,,,EAM,Other,PM,Other,Work Order
TABL,ZMPM_SYSENV_MAP,System Environment Mapping,,,,EAM,Other,PM,Other,Work Order
TABL,ZMPM_BRKSHOE_TYP,CAR: MD Report Break Shoe Types,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_EDITMASTREL,EAM-CAR Editable Tables Relationships,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_DDCTCONTACT,CAR: DDCT Contact,,,,EAM,Inspect,PM,Inspection,DDCT
TABL,ZMPM_JRN_BRG_SIZ,CAR: MD Report - Bearing Size,,,,EAM,Other,PM,Other,Work Order
TABL,ZMPM_WSCONFIG,CAR: Web Services Configuration,,,,EAM,Other,PM,Other,Work Order
TABL,ZMPM_ELAS_ADTPAD,CAR: MD Report - Elastomeric Adapter Pad,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPM_REMOVERULES,CAR: Remove Rules,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_EOTD_MAPURL,Table for MapView URL,,,,EAM,Other,PM,Other,UTIL
TABL,ZMPMINTCPSTATUS,Intercept Status,,,,EAM,Inspect,PM,Inspection,NS Intercepts
TABL,ZMPMBOIDENTAT,Bad Order Identified At,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMREP_MATNRULE,Repair: Material Number Rule,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPM_BOSTATUS,CAR: Bad Order Status,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPM_ADAPT_COND,CAR: MD Report - Adapter Condition Code,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMREP_AQULRULE,Repair: Applied Qualifier Rule,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMMATUNIT,Material Unit,,,,EAM,Other,PM,Other,Inventory
TABL,ZMPM_MTHD_DETECT,CAR: MD Report - Method of Detection,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_TRACKTYPE,Track Type,,,,EAM,Other,PM,Other,TYES
TABL,ZMPMCARKDCARTY,Car Kind to Car Type Mapping,,,,EAM,Other,PM,Other,TYES
TABL,ZMPMREPCARGRADE,Allowed Car Grade for Repair,,,,EAM,Repair,PM,Repair,Equipment
TABL,ZMPM_MD_REPORT,CAR: MD Report,,,,EAM,Other,PM,Other,UTIL
TABL,ZMPM_MD_CAR_KIND,CAR: Car Kind for MD Report,,,,EAM,Other,PM,Other,Equipment
TABL,ZMPMRULEFAM,Rule Family,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMREP_MATCRULE,Repair: Material Condition Code Rule,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMJOBCDOPTY,Job Code Operation Type,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPM_EOT_OWNERDT,Table to Store Car Initials and Owner mapping,,,,EAM,Repair,PM,Repair,Equipment
TABL,ZMPM_CAUSEOFDMG,CAR: Cause of Damage,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_ELOR_DMG,ZMPM_ELOR_DMG,,,,EAM,Other,PM,Other,UTIL
TABL,ZMPM_CIS_PRIO,DMDMECH.CIS_PRIORITY,,,,EAM,Other,PM,Other,UTIL
TABL,ZMPMCONDCODE,Condition Code,,,,EAM,Inspect,PM,Inspection,Equipment
TABL,ZMPMCARGRADE,CAR: Car Grade,,,,EAM,Other,PM,Other,Work Order
TABL,ZMPM_INSP_TYPE,CAR: Maintenance Activity Types,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_DEFECTCODE,CAR: Defect Codes,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPMCARKDAUTORUL,CAR: Car Kind Determination Table,,,,EAM,Other,PM,Other,Equipment
TABL,ZMPM_EOTD_FGN_ID,EoTD Specific Foreign Plant - Sloc Mapping,,,,EAM,Other,PM,Other,Inventory
TABL,ZMPMMANUF,Manufacturer,,,,EAM,Other,PM,Other,Equipment
TABL,ZMPM_BOREASON,CAR: Bad Order Reason Code,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPM_INCIDNTTYP,CAR: Incident Type,,,,EAM,Plan,PM,Plan,Work Order
TABL,ZMPM_RI_ATTRI,EAM EOTD: RI Attributes,,,,EAM,Other,PM,Other,UTIL
TABL,ZMPMAARRULE,AAR Rule,,,,EAM,Other,PM,Other,UTIL
TABL,ZMPM_EDITMASTER,EAM-CAR Editable Tables,,,,EAM,Other,PM,Other,UTIL
TABL,ZMPM_CRPTCTTODC,CAR: Car Part Category to Defect Code,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPMCARPARTCAT,Car Part Category,,,,EAM,Other,PM,Other,Equipment
TABL,ZMPM_BAD_REASON,Bad Order Reason Table,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPM_EOTPROC_LOG,New EOTD Procurement Log,,,,EAM,Plan,PM,Plan,Inventory
TABL,ZMPM_ABO_STATION,Auto-BO Stations,,,,EAM,Other,PM,Other,Work Order
TABL,ZMPM_FACILITYMAP,CAR: Mapping table for Railinc AAR Facility Code,,,,EAM,Inspect,PM,Inspection,Railinc
TABL,ZMPM_ELEMENT_MAP,CAR: Element mapping table for Railinc CEPM and CREG,,,,EAM,Inspect,PM,Inspection,Railinc
TABL,ZMPMRULENUM,Rule Number,,,,EAM,Other,PM,Other,UTIL
TABL,ZMPM_EOT_FRG_MAP,EAM EOTD: Automatic movement Foreign mapping table,,,,EAM,Move,PM,Move,Equipment
TABL,ZMPMCARLOC,Car Location,,,,EAM,Move,PM,Move,TYES
TABL,ZMPMWHYMADECD,Why Made Code,,,,EAM,Other,PM,Other,UTIL
TABL,ZMPM_CARVAR,CAR: table to store values for EAM CAR,,,,EAM,Other,PM,Other,Equipment
TABL,ZMPM_USER_DATA,Users Default Data,,,,EAM,Other,PM,Other,UTIL
TABL,ZMPM_CEPMELEMDEF,CAR: CEPM Element Definitions,,,,EAM,Other,PM,Other,UMLER
TABL,ZMPMALLOWEDFIELD,Railinc Allowed Fields,,,,EAM,Other,PM,Other,Railinc
TABL,ZMPM_WHEEL_DESIG,CAR: Wheel Design Designation,,,,EAM,Plan,PM,Plan,Work Order
TABL,ZMPM_COMPLEX_HLP,DMDMECH.COMPLEX_HELP,,,,EAM,Other,PM,Other,UTIL
TABL,ZMPM_SPCL_HNDL,DMDMECH.SPECIAL_HANDLE,,,,EAM,Other,PM,Other,UTIL
TABL,ZMPMJOBCDSTDHR,Job Code Standard Hours,,,,EAM,Plan,PM,Plan,Work Order
TABL,ZMPMMATWT,Material Weight,,,,EAM,Plan,PM,Plan,Inventory
TABL,ZMPMCRBCUSTJCD,CRB Custom Job Code,,,,EAM,Plan,PM,Plan,Work Order
TABL,ZMPM_REPHISTORY,EoTD Device Repair History,,,,EAM,Repair,PM,Repair,Equipment
TABL,ZMPM_COMP_DET,CAR: Railinc Component Details,,,,EAM,Repair,PM,Repair,Railinc
TABL,ZMPMALERTTYJOBCD,Alert Type Job Code,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_CEPMELEMVAL,CAR: Element Valid Values,,,,EAM,Other,PM,Other,Equipment
TABL,ZMPMINSPINTCP,Inspection Code and Intercept Code,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPMJOBCDCONDCD,Job Code Condition Code,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPMJOBCDRSPCD,Job Code Responsibility Code,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_AUTO_LOG,Table to store Auto Movement Error Log,,,,EAM,Move,PM,Move,Equipment
TABL,ZMPM_EOT_SPLC,EAM EOTD: SPLC Code,,,,EAM,Other,PM,Other,Equipment
TABL,ZMPMJOBCDQUAL,Job Code Qualifier,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPMCARPTJOBCDLB,Car Part Job Code Labor,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPMPMJOBCODE,PM Job Code,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_JOBCD_MAT,Railinc AAR Job Code and SAP Material,,,,EAM,Inspect,PM,Inspection,Railinc
TABL,ZMPM_POOL_HDR,UMLER Pool Header,,,,EAM,Other,PM,Other,UMLER
TABL,ZMPMCARPARTJOBCD,Car Part Job Code,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPMJOBCDWHYMADE,Job Code Why Made,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_EOT_TRSTAT,EAM EOTD: Train Schedule (Dynamic),,,,EAM,Move,PM,Move,TYES
TABL,ZMPMPMJOBCDCOUP,Job Code Couplet,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_STATIONMSTR,DMFTRLOC.STATION_MASTER,,,,EAM,Other,PM,Other,Work Order
TABL,ZMPM_EOTD_EQP1,AEI SCAN FOR EOTD EQUIPMENT,,,,EAM,Move,PM,Move,Equipment
TABL,ZMPM_TRAILER,UMLER Trailer,,,,EAM,Other,PM,Other,UMLER
TABL,ZMPMJOBCDCARLOC,Job Code Car Location,,,,EAM,Inspect,PM,Inspection,TYES
TABL,ZMPMWSLOG,Web Services Log with Payloads,,,,EAM,Other,PM,Other,UTIL
TABL,ZMPM_EOT_DEVICE,UMLER End of Train Device,,,,EAM,Other,PM,Other,UMLER
TABL,ZMPM_ACTU_TRSTAT,EAM EoTD: Train Status,,,,EAM,Move,PM,Move,TYES
TABL,ZMPMCARPARTLOC,Car Part Location,,,,EAM,Move,PM,Move,Work Order
TABL,ZMPM_LOCO_EQP,UMLER Locomotive Equipment,,,,EAM,Inspect,PM,Inspection,UMLER
TABL,ZMPMPMJOBCODEPRC,PM Job Code Price,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_VEH_FLT_CAR,UMLER Vehicular Flat Car,,,,EAM,Inspect,PM,Inspection,UMLER
TABL,ZMPM_INTMDL_FLAT,UMLER Intermodal Flat,,,,EAM,Inspect,PM,Inspection,UMLER
TABL,ZMPMPMJBCDCARLOC,PM Job Code Car Location,,,,EAM,Inspect,PM,Inspection,UMLER
TABL,ZMPM_FLAT_CAR,UMLER Flat Car,,,,EAM,Inspect,PM,Inspection,UMLER
TABL,ZMPM_CAR_PAYABLE,Account Payables,,,,EAM,Billing,PM,Billing,TTX
TABL,ZMPM_CONTAINER,UMLER Container,,,,EAM,Other,PM,Other,UMLER
TABL,ZMPM_BOX_CAR,UMLER Box Car,,,,EAM,Other,PM,Other,UMLER
TABL,ZMPM_HWAY_FRT_EQ,UMLER Highway Freight Equipment,,,,EAM,Other,PM,Other,UMLER
TABL,ZMPM_GONDOLA,UMLER Gondola,,,,EAM,Other,PM,Other,UMLER
TABL,ZMPM_COMP_SECOND,UMLER Comp Secondary,,,,EAM,Other,PM,Other,UMLER
TABL,ZMPM_CAR_INT_CUR,DMDMECH.CAR_INTERCEPT_CURR,,,,EAM,Inspect,PM,Inspection,NS Intercepts
TABL,ZMPM_MECH_CAR_CL,UMLER MECH_CAR_CLASS,,,,EAM,Inspect,PM,Inspection,UMLER
TABL,ZMPM_TANK_CAR,UMLER Tank Car,,,,EAM,Inspect,PM,Inspection,UMLER
TABL,ZMPM_LOCO_INSP,UMLER Locomotive Inspection,,,,EAM,Inspect,PM,Inspection,UMLER
TABL,ZMPM_HOPPER,UMLER Hopper,,,,EAM,Inspect,PM,Inspection,UMLER
TABL,ZMPM_FREIGHT_EQP,UMLER Rail Freight Equipment,,,,EAM,Other,PM,Other,UMLER
TABL,ZMPM_CDU_POOL_AS,UMLER CDU Pool Assignment,,,,EAM,Other,PM,Other,UMLER
TABL,ZMPM_EQP_UT,UMLER EQP_UT,,,,EAM,Other,PM,Other,UMLER
TABL,ZMPM_ALRMDTL_CUR,DMDMECH.ALRM_DTL_CURR,,,,EAM,Other,PM,Other,UMLER
TABL,ZMPM_EQP_BY_EQP,CASSANDRA.EQUIPMENT_BY_EQUIPMENT,,,,EAM,Other,PM,Other,Equipment
TABL,ZMPM_EQP_INSP,UMLER Equipment Inspection,,,,EAM,Inspect,PM,Inspection,UMLER
TABL,ZMPMABOLOG,Web Services Log with Payloads,,,,EAM,Other,PM,Other,UTIL
TABL,ZMPM_COMP_PRIM,UMLER Comp Primary,,,,EAM,Other,PM,Other,UMLER
TABL,ZMPMCARKIND     ,Car Kind,,,,EAM,Other,PM,Other,Equipment
TABL,ZMPMCARPART     ,Car Part,,,,EAM,Other,PM,Other,Equipment
TABL,ZMPMJOBCODE     ,Job Code,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPMJOURNALSIZE ,Journal Size,,,,EAM,Other,PM,Other,Work Order
TABL,ZMPMREP_MATCLRUL,Material Calculator Configuration,,,,EAM,Other,PM,Other,Work Order
TABL,ZMPMREP_RQULRULE,Repair: Removed Qualifier Rule,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMRESPCODE    ,Responsibility Code,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_EOTDSTNDATA,EoTD Station Data,,,,EAM,Other,PM,Other,Work Order
TABL,ZMPM_EOTD_GPS   ,EAM - Eotd GPS Data,,,,EAM,Move,PM,Move,Work Order
TABL,ZMPM_EOTD_MASTER,Equipment Master,,,,EAM,Other,PM,Other,Equipment
TABL,ZMPM_EOTD_PARAM ,EoTD Parameter Table,,,,EAM,Other,PM,Other,Equipment
TABL,ZMPM_EOTD_UPS   ,UPS Details,,,,EAM,Move,PM,Move,UPS
TABL,ZMPM_EOT_HISTORY,EoTD History,,,,EAM,Move,PM,Move,Equipment
TABL,ZMPM_EOT_SCANNER,Scanner to Operating Station and Yard Mapping,,,,EAM,Move,PM,Move,Work Order
TABL,ZMPM_FGNPROC_LOG,Log for Add/Remove Inventory,,,,EAM,Move,PM,Move,Inventory
TABL,ZMPM_REASON_CODE,Reason Code for Add/Remove Inventory,,,,EAM,Move,PM,Move,Inventory
TABL,ZMPM_SLOC_CHARGE,Storage Location for Charge Out,,,,EAM,Move,PM,Move,Inventory
TABL,ZMPM_STATIONDATA,Station Master Data,,,,EAM,Other,PM,Other,Work Order
TABL,ZMPM_TRACK_DATA ,Track Master Data,,,,EAM,Other,PM,Other,Work Order
TABL,ZMPM_WCSLOC_DATA,Work Center & SLOC Data,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_IM_MPMES_CAR_ORDMODIFY,Imp. class for BAdI imp. ZMPMES_CAR_ORDMODIFY,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_MPM_CAR_ABO_LOG,Auto BO Logger,,,,EAM,Repair,PM,Repair,NS Bad Order
Class,ZCL_MPM_CAR_AFVU_MAINT,Imp. class for BAdI imp. ZMPMES_CAR_AFVUMAINT,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_MPM_CAR_AUTO_BAD_ORDER,Auto Bad Order,,,,EAM,Repair,PM,Repair,NS Bad Order
Class,ZCL_MPM_CAR_CORE,CORE Class to call 3rd Party Services,,,,EAM,Repair,PM,Repair,TYES
Class,ZCL_MPM_CAR_CREATE_BAD_ORDER,to Create Bad Order,,,,EAM,Repair,PM,Repair,NS Bad Order
Class,ZCL_MPM_CAR_DDCT,DDCT Interface,,,,EAM,Repair,PM,Repair,DDCT 
Class,ZCL_MPM_CAR_FACTORY,Factory Class to instantiate 3rd Party Call,,,,EAM,Repair,PM,Repair,TYES
Class,ZCL_MPM_CAR_FOREIGN_REPAIR_ORD,Foreign Repair on NS Car Work Order,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_MPM_CAR_SINGLELEVEL_LIST,Class for BAdI Implementation ZMPMES_CAR_SINGLELEVEL_LIST,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_MPM_CAR_TEMPLATE_ORDER,Template Order,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_MPM_CAR_WO_MAINTAIN,Work Order Maintain,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_MPM_CAR_WORK_ORDER,Work Order (Abstract),,,,EAM,Repair,PM,Repair,WOrk Order
Class,ZCL_MPM_CAR_WORK_ORDER_FACTORY,Work Order (Factory),,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_MPM_CAR_WORKCENTER_USERS,Workcenter Users,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_MPM_CAR_YARD_REPAIR_ORD,Yard repair work order,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_CAR_INSPECTIO_DPC,Data Provider Base Class,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_CAR_INSPECTIO_DPC_EXT,Data Provider Secondary Class,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_CAR_INSPECTIO_MPC,ZCL_ZMPM_CAR_INSPECTIO_MPC,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_CAR_REPAIR_DPC,Data Provider Base Class,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_CAR_REPAIR_DPC_EXT,Data Provider Secondary Class,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_CAR_REPAIR_MPC,ZCL_ZMPM_CAR_REPAIR_MPC,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_CAR_REPAIR_MPC_EXT,ZCL_ZMPM_CAR_REPAIR_MPC_EXT,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_CAR_REPAIR_TE_DPC,Data Provider Base Class,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_CAR_REPAIR_TE_DPC_EXT,Data Provider Secondary Class,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_CAR_REPAIR_TE_MPC,ZCL_ZMPM_CAR_REPAIR_TE_MPC,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_CAR_YARD_REPA_DPC,Data Provider Base Class,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_CAR_YARD_REPA_DPC_EXT,Data Provider Secondary Class,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_CAR_YARD_REPA_MPC,ZCL_ZMPM_CAR_YARD_REPA_MPC,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_CAR_YARD_REPA_MPC_EXT,ZCL_ZMPM_CAR_YARD_REPA_MPC_EXT,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_EOTD_REPAIR_P_DPC,Data Provider Base Class,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_EOTD_REPAIR_P_DPC_EXT,Data Provider Secondary Class,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_EOTD_REPAIR_P_MPC,ZCL_ZMPM_EOTD_REPAIR_P_MPC,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_REPAIR_CANCEL_DPC_EXT,Data Provider Secondary Class,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_REPAIR_CANCEL_MPC,ZCL_ZMPM_REPAIR_CANCEL_MPC,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_REPAIR_REC_02_DPC,Data Provider Base Class,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_REPAIR_REC_02_DPC_EXT,Data Provider Secondary Class,,,,EAM,Repair,PM,Repair,Work Order
Class,ZCL_ZMPM_REPAIR_REC_02_MPC,ZCL_ZMPM_REPAIR_REC_02_MPC,,,,EAM,Repair,PM,Repair,Work Order
BADI,ZMPMES_CAR_ORDMODIFY,Implementation for populating work order header field,,,,EAM,Repair,PM,Repair,Work Order Enhancement
BADI,ZMPMES_CAR_ES_SAPLCORF,SAPLCORF Enhancement,,,,EAM,Repair,PM,Repair,Work Order Enhancement
BADI,ZMPMES_CAR_MRKO_FIELDS,Enhancement for additional fields for MRKO,,,,EAM,Repair,PM,Repair,Work Order Enhancement
BADI,ZMPMES_CAR_AFVUMAINT,Implementation for Work Order custom fields at operation lev,,,,EAM,Repair,PM,Repair,Work Order Enhancement
BADI,ZMPMES_CAR_WORKORDER_GOODSMVT,IW41 BADI - Goods Movement,,,,EAM,Repair,PM,Repair,Work Order Enhancement
BADI,ZMPMES_CAR_SINGLELEVEL_LIST,EAM Single Level List,,,,EAM,Repair,PM,Repair,Work Order Enhancement
CMOD,ZMPMPRNT,Customer enhancement projects,,EXIT_SAPLCOIH_019,PM Order: Customer Enhancement for User Fields for Order Header PAI,EAM,Repair,,Repair,Work Order
CMOD,ZMPMPRNT,Customer Enhancement (Screen exit),,SAPLXWOC0900_1180,Tasklist DMS Documents,EAM,Repair,,Repair,Work Order
CMOD,ZMPMITOB,Customer enhancement projects,,EXIT_SAPLITO0_001,Customer Include ITO0: Data Import (Initiator => Include),EAM,Other,,Other,Equipment
CMOD,ZMPMITOB,Customer Enhancement (Screen exit),,SAPLXTOB1000,,EAM,Other,,Other,Equipment
CMOD,ZMPMITOB,Customer Enhancement (Screen exit),,SAPLXTOB1001,UMLER Information,EAM,Other,,Other,Equipment
CMOD,ZMPMITOB,Customer Enhancement (Screen exit),,SAPLXTOB1002,,EAM,Other,,Other,Equipment
CMOD,ZMPMITOB,Customer Enhancement (Screen exit),,SAPLXTOB1003,,EAM,Other,,Other,Equipment
CMOD,ZMPMITOB,Customer Enhancement (Screen exit),,SAPLXTOB1004,,EAM,Other,,Other,Equipment
CMOD,ZMPMPRNT,Customer enhancement projects,,EXIT_SAPLCOIH_018,PM Order: User Fields for Order Header PBO,EAM,Repair,,Repair,Work Order
CMOD,ZMPMPRNT,Customer Enhancement (Screen exit),,SAPLXWOC0900_1181,Tasklist DMS Documents,EAM,Repair,,Repair,Work Order
PROG,ZMPM_CAR_UPLOAD_PAYABLES,Upload program for TTX Payables File,,,,EAM,Repair,,Repair,Billing Interface
PROG,ZMPM_CAR_WSLOG_VIEWER,Web Services Log Viewer,,,,EAM,Repair,,Repair,RailInc Interface
PROG,ZMPMCAR_ELOR_OUTBOUND,Periodic outbound of ZMPM_ELOR_DMG,,,,EAM,Repair,,Repair,RailInc Interface
PROG,SAPMZMPMCAR_CUSTOM_SCREEN,Custom screen for Work Order Operation,,,,EAM,Repair,,Repair,Work Order Enhancement
PROG,ZMPM_CAR_ABOLOG_VIEWER,Auto Bad Order Log Viewer,,,,EAM,Repair,,Repair,Work Order Enhancement
PROG,ZMPMDCAR_CARPARTBOREAS_UPLOAD,Upload an excel file to maintain the BO Reason Code value,,,,EAM,Repair,,Repair,Work Order Enhancement
PROG,ZPPAR_UPDATE_IT_0208,User Exit for all Infotypes,ZPPAR_UPDATE_INFOTYPE HCM-PA #156 USER EXIT FOR ALL INFOTYPES ----------------------------------------------------------------------,,,HCM,Payroll Admin,Payroll,Taxes - Work tax,Payroll-Taxes
PROG,ZPPAR_UPDATE_IT_0208F0001,User Exit for all Infotypes,ZPPAR_UPDATE_INFOTYPE HCM-PA #156 USER EXIT FOR ALL INFOTYPES ----------------------------------------------------------------------,,,HCM,Payroll Admin,Payroll,Taxes,Payroll-Taxes
PROG,ZPPAR_UPDATE_IT_0207,User Exit for all Infotypes,ZPPAR_UPDATE_INFOTYPE HCM-PA #156 USER EXIT FOR ALL INFOTYPES ----------------------------------------------------------------------,,,HCM,Payroll Admin,Payroll,Taxes - Residence tax,Payroll-Taxes
PROG,ZPPAR_UPDATE_IT_0014_0015,Update IT 0014 & 0015 after Employee becomes Withdrawn,& ZPPAR_UPDATE_IT_0014_0015 & CR# 1088 IM00423875 & WP3 - HCM - MISC DEDUCTIONS ARE NOT ALLOWED ON RETIREES/PENSION PAYMENTS &--------------------------------------------------------------------- & INITIAL VERSION: E1DK926193,,,HCM,Payroll Admin,Payroll,Earnings & Deductions,Payroll Admin
