,Level-1-text,Module-text,Sub-Process-text,Level 1 Process,Module,Sub Process,Num_words_Level-1-text,Num_words_Module-text,Num_words_Sub-Process-text,Level 1 Process-Code,Module-Code,Sub Process-Code
879,r2r enhance accelerator ap reports to pull in gm documents nan,vendorinvoicing&ap r2r enhance accelerator ap reports to pull in gm documents nan,ap vendorinvoicing&ap r2r enhance accelerator ap reports to pull in gm documents nan,vendorinvoicing&ap,ap,vendorinvoicing,11,12,13,15,1,38
880,r2r create fi doc for rej from dp91 nan,fixedasset&projectaccounting r2r create fi doc for rej from dp91 nan,ps fixedasset&projectaccounting r2r create fi doc for rej from dp91 nan,fixedasset&projectaccounting,ps,capitalprojectaccounting,9,10,11,4,33,7
881,r2r check data change nan,misc r2r check data change nan,sd misc r2r check data change nan,misc,sd,sd,5,6,7,10,41,34
882,r2r correct customer contact list in billing due list nan,customerinvoicing&ar(mbil) r2r correct customer contact list in billing due list nan,sd customerinvoicing&ar(mbil) r2r correct customer contact list in billing due list nan,customerinvoicing&ar(mbil),sd,customerinvoicing,10,11,12,3,41,10
883,r2r for multilple bill-to nan,customerinvoicing&ar(mbil) r2r for multilple bill-to nan,sd customerinvoicing&ar(mbil) r2r for multilple bill-to nan,customerinvoicing&ar(mbil),sd,customerinvoicing,5,6,7,3,41,10
884,r2r paymetrc - fe_check badi nan,vendorinvoicing&ap r2r paymetrc - fe_check badi nan,ap vendorinvoicing&ap r2r paymetrc - fe_check badi nan,vendorinvoicing&ap,ap,vendorinvoicing,6,7,8,15,1,38
885,r2r apse 78: wbs custom fields nan,fixedasset&projectaccounting r2r apse 78: wbs custom fields nan,ps fixedasset&projectaccounting r2r apse 78: wbs custom fields nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,7,8,9,4,33,6
886,r2r to get the output of ksb1 and save in appl server nan,generalaccountingconsolidation&reporting r2r to get the output of ksb1 and save in appl server nan,co generalaccountingconsolidation&reporting r2r to get the output of ksb1 and save in appl server nan,generalaccountingconsolidation&reporting,co,costaccounting&control,13,14,15,6,10,8
887,r2r default tax code to fb60 & fv50 nan,vendorinvoicing&ap r2r default tax code to fb60 & fv50 nan,ap vendorinvoicing&ap r2r default tax code to fb60 & fv50 nan,vendorinvoicing&ap,ap,vendorinvoicing,9,10,11,15,1,38
888,r2r sales order approval nan,customerinvoicing&ar(mbil) r2r sales order approval nan,sd customerinvoicing&ar(mbil) r2r sales order approval nan,customerinvoicing&ar(mbil),sd,customerinvoicing,5,6,7,3,41,10
889,r2r payment due date. nan,vendorinvoicing&ap r2r payment due date. nan,ap vendorinvoicing&ap r2r payment due date. nan,vendorinvoicing&ap,ap,vendorinvoicing,5,6,7,15,1,38
890,r2r enh. to hide project / wbs for envrem areq. nan,fixedasset&projectaccounting r2r enh. to hide project / wbs for envrem areq. nan,ps fixedasset&projectaccounting r2r enh. to hide project / wbs for envrem areq. nan,fixedasset&projectaccounting,ps,projectaccountingforenvironmentalremediation,11,12,13,4,33,30
891,r2r restriction to access vf11 nan,customerinvoicing&ar(mbil) r2r restriction to access vf11 nan,sd customerinvoicing&ar(mbil) r2r restriction to access vf11 nan,customerinvoicing&ar(mbil),sd,customerinvoicing,6,7,8,3,41,10
892,r2r skipping tax check nan,managetaxes r2r skipping tax check nan,tax managetaxes r2r skipping tax check nan,managetaxes,tax,vendorinvoicing,5,6,7,9,43,38
893,r2r implementation for checking bill to % against wbs nan,fixedasset&projectaccounting r2r implementation for checking bill to % against wbs nan,ps fixedasset&projectaccounting r2r implementation for checking bill to % against wbs nan,fixedasset&projectaccounting,ps,capitalprojectaccounting,10,11,12,4,33,7
894,r2r make the pushbutton visible online nan,vendorinvoicing&ap r2r make the pushbutton visible online nan,ap vendorinvoicing&ap r2r make the pushbutton visible online nan,vendorinvoicing&ap,ap,vendormaintenance,7,8,9,15,1,39
895,r2r diesul fuel invoice: match delivery date nan,vendorinvoicing&ap r2r diesul fuel invoice: match delivery date nan,ap vendorinvoicing&ap r2r diesul fuel invoice: match delivery date nan,vendorinvoicing&ap,ap,vendorinvoicing,8,9,10,15,1,38
896,r2r remove wtax details nan,managetaxes r2r remove wtax details nan,tax managetaxes r2r remove wtax details nan,managetaxes,tax,1099taxwithholding/reporting,5,6,7,9,43,0
897,r2r copy fields from sales order line item to the debit-memo req nan,customerinvoicing&ar(mbil) r2r copy fields from sales order line item to the debit-memo req nan,sd customerinvoicing&ar(mbil) r2r copy fields from sales order line item to the debit-memo req nan,customerinvoicing&ar(mbil),sd,customerinvoicing,13,14,15,3,41,10
898,r2r transworks enhancement for old material number nan,generalaccountingconsolidation&reporting r2r transworks enhancement for old material number nan,mm generalaccountingconsolidation&reporting r2r transworks enhancement for old material number nan,generalaccountingconsolidation&reporting,mm,inventoryaccounting,8,9,10,6,29,19
899,r2r custom gl validations point nan,generalaccountingconsolidation&reporting r2r custom gl validations point nan,gl generalaccountingconsolidation&reporting r2r custom gl validations point nan,generalaccountingconsolidation&reporting,gl,generalaccounting,6,7,8,6,17,14
900,r2r diesul fuel invoice: remove reversed gr and match delivery d nan,vendorinvoicing&ap r2r diesul fuel invoice: remove reversed gr and match delivery d nan,ap vendorinvoicing&ap r2r diesul fuel invoice: remove reversed gr and match delivery d nan,vendorinvoicing&ap,ap,vendorinvoicing,12,13,14,15,1,38
901,r2r determine correct revenue account nan,fixedasset&projectaccounting r2r determine correct revenue account nan,ps fixedasset&projectaccounting r2r determine correct revenue account nan,fixedasset&projectaccounting,ps,capitalprojectaccounting,6,7,8,4,33,7
902,r2r get co_uuid nan,treasuryoperations r2r get co_uuid nan,tr treasuryoperations r2r get co_uuid nan,treasuryoperations,tr,bankmanagement,4,5,6,13,44,5
903,r2r environment remediation nan,vendorinvoicing&ap r2r environment remediation nan,ap vendorinvoicing&ap r2r environment remediation nan,vendorinvoicing&ap,ap,vendorinvoicing,4,5,6,15,1,38
904,r2r change status nan,treasuryoperations r2r change status nan,tr treasuryoperations r2r change status nan,treasuryoperations,tr,bankmanagement,4,5,6,13,44,5
905,r2r transwork enhancement nan,customerinvoicing&ar(mbil) r2r transwork enhancement nan,sd customerinvoicing&ar(mbil) r2r transwork enhancement nan,customerinvoicing&ar(mbil),sd,customerinvoicing,4,5,6,3,41,10
906,r2r edi invoice print nan,vendorinvoicing&ap r2r edi invoice print nan,ap vendorinvoicing&ap r2r edi invoice print nan,vendorinvoicing&ap,ap,vendorinvoicing,5,6,7,15,1,38
907,r2r enable business area in va02 nan,customerinvoicing&ar(mbil) r2r enable business area in va02 nan,sd customerinvoicing&ar(mbil) r2r enable business area in va02 nan,customerinvoicing&ar(mbil),sd,customerinvoicing,7,8,9,3,41,10
908,r2r sto price nan,customerinvoicing&ar(mbil) r2r sto price nan,sd customerinvoicing&ar(mbil) r2r sto price nan,customerinvoicing&ar(mbil),sd,inventoryaccounting,4,5,6,3,41,19
909,r2r workflow invoice update nan,vendorinvoicing&ap r2r workflow invoice update nan,ap vendorinvoicing&ap r2r workflow invoice update nan,vendorinvoicing&ap,ap,vendorinvoicing,5,6,7,15,1,38
910,r2r allow cost center field to be entered nan,generalaccountingconsolidation&reporting r2r allow cost center field to be entered nan,gl generalaccountingconsolidation&reporting r2r allow cost center field to be entered nan,generalaccountingconsolidation&reporting,gl,inventoryaccounting,9,10,11,6,17,19
911,r2r enhancement point to cater bapi - park document nan,generalaccountingconsolidation&reporting r2r enhancement point to cater bapi - park document nan,gl generalaccountingconsolidation&reporting r2r enhancement point to cater bapi - park document nan,generalaccountingconsolidation&reporting,gl,generalaccounting,10,11,12,6,17,14
912,r2r maintain substitute check nan,generalaccountingconsolidation&reporting r2r maintain substitute check nan,gl generalaccountingconsolidation&reporting r2r maintain substitute check nan,generalaccountingconsolidation&reporting,gl,generalaccounting,5,6,7,6,17,14
913,r2r card validation while importing charges nan,vendorinvoicing&ap r2r card validation while importing charges nan,ap vendorinvoicing&ap r2r card validation while importing charges nan,vendorinvoicing&ap,ap,vendorinvoicing,7,8,9,15,1,38
914,r2r implementation of /paymetrc/attach for attachments nan,vendorinvoicing&ap r2r implementation of /paymetrc/attach for attachments nan,ap vendorinvoicing&ap r2r implementation of /paymetrc/attach for attachments nan,vendorinvoicing&ap,ap,vendorinvoicing,7,8,9,15,1,38
915,r2r functional area derivation nan,generalaccountingconsolidation&reporting r2r functional area derivation nan,gl generalaccountingconsolidation&reporting r2r functional area derivation nan,generalaccountingconsolidation&reporting,gl,generalaccounting,5,6,7,6,17,14
916,r2r same gl should not post nan,generalaccountingconsolidation&reporting r2r same gl should not post nan,gl generalaccountingconsolidation&reporting r2r same gl should not post nan,generalaccountingconsolidation&reporting,gl,generalaccounting,7,8,9,6,17,14
917,r2r additional check for gr qty in mrbr nan,vendorinvoicing&ap r2r additional check for gr qty in mrbr nan,ap vendorinvoicing&ap r2r additional check for gr qty in mrbr nan,vendorinvoicing&ap,ap,vendorinvoicing,9,10,11,15,1,38
918,r2r unposted items prior to date range must be checked nan,vendorinvoicing&ap r2r unposted items prior to date range must be checked nan,ap vendorinvoicing&ap r2r unposted items prior to date range must be checked nan,vendorinvoicing&ap,ap,vendorinvoicing,11,12,13,15,1,38
919,r2r additional data for vendors ( subscreen 1000) nan,vendorinvoicing&ap r2r additional data for vendors ( subscreen 1000) nan,ap vendorinvoicing&ap r2r additional data for vendors ( subscreen 1000) nan,vendorinvoicing&ap,ap,vendormaintenance,9,10,11,15,1,39
920,r2r link the note attached to item with the header. nan,vendorinvoicing&ap r2r link the note attached to item with the header. nan,ap vendorinvoicing&ap r2r link the note attached to item with the header. nan,vendorinvoicing&ap,ap,vendorinvoicing,11,12,13,15,1,38
921,r2r push cost center nan,customerinvoicing&ar(mbil) r2r push cost center nan,sd customerinvoicing&ar(mbil) r2r push cost center nan,customerinvoicing&ar(mbil),sd,customerinvoicing,5,6,7,3,41,10
922,r2r change line item text of invoice document from offset zfap_b nan,vendorinvoicing&ap r2r change line item text of invoice document from offset zfap_b nan,ap vendorinvoicing&ap r2r change line item text of invoice document from offset zfap_b nan,vendorinvoicing&ap,ap,vendorinvoicing,12,13,14,15,1,38
923,r2r implicit enhancement in read_po_data in rm08release_f0t nan,vendorinvoicing&ap r2r implicit enhancement in read_po_data in rm08release_f0t nan,ap vendorinvoicing&ap r2r implicit enhancement in read_po_data in rm08release_f0t nan,vendorinvoicing&ap,ap,vendorinvoicing,8,9,10,15,1,38
924,r2r custom mrbr qty block release nan,vendorinvoicing&ap r2r custom mrbr qty block release nan,ap vendorinvoicing&ap r2r custom mrbr qty block release nan,vendorinvoicing&ap,ap,vendorinvoicing,7,8,9,15,1,38
925,r2r rm06ekps/show_ekbel nan,fixedasset&projectaccounting r2r rm06ekps/show_ekbel nan,ps fixedasset&projectaccounting r2r rm06ekps/show_ekbel nan,fixedasset&projectaccounting,ps,capitalprojectaccounting,3,4,5,4,33,7
926,r2r created on date in ksb1 selection screen nan,generalaccountingconsolidation&reporting r2r created on date in ksb1 selection screen nan,co generalaccountingconsolidation&reporting r2r created on date in ksb1 selection screen nan,generalaccountingconsolidation&reporting,co,costaccounting&control,9,10,11,6,10,8
927,r2r customer invoice approval nan,customerinvoicing&ar(mbil) r2r customer invoice approval nan,sd customerinvoicing&ar(mbil) r2r customer invoice approval nan,customerinvoicing&ar(mbil),sd,customerinvoicing,5,6,7,3,41,10
928,r2r skip date check on contract dates nan,customerinvoicing&ar(mbil) r2r skip date check on contract dates nan,sd customerinvoicing&ar(mbil) r2r skip date check on contract dates nan,customerinvoicing&ar(mbil),sd,customerinvoicing,8,9,10,3,41,10
929,r2r implementaion of /paymetrc/translist for attachments nan,vendorinvoicing&ap r2r implementaion of /paymetrc/translist for attachments nan,ap vendorinvoicing&ap r2r implementaion of /paymetrc/translist for attachments nan,vendorinvoicing&ap,ap,vendorinvoicing,7,8,9,15,1,38
930,r2r store previous status nan,treasuryoperations r2r store previous status nan,tr treasuryoperations r2r store previous status nan,treasuryoperations,tr,bankmanagement,5,6,7,13,44,5
931,r2r cr566 do not reduce admin fee nan,fixedasset&projectaccounting r2r cr566 do not reduce admin fee nan,ps fixedasset&projectaccounting r2r cr566 do not reduce admin fee nan,fixedasset&projectaccounting,ps,capitalprojectaccounting,8,9,10,4,33,7
932,r2r enh to read item data. nan,vendorinvoicing&ap r2r enh to read item data. nan,ap vendorinvoicing&ap r2r enh to read item data. nan,vendorinvoicing&ap,ap,vendorinvoicing,7,8,9,15,1,38
933,r2r ftr enhancements for customers nan,treasuryoperations r2r ftr enhancements for customers nan,tr treasuryoperations r2r ftr enhancements for customers nan,treasuryoperations,tr,bankmanagement,6,7,8,13,44,5
934,r2r enhancement in fibl_frft nan,treasuryoperations r2r enhancement in fibl_frft nan,tr treasuryoperations r2r enhancement in fibl_frft nan,treasuryoperations,tr,bankmanagement,5,6,7,13,44,5
935,r2r so load to not show popup nan,customerinvoicing&ar(mbil) r2r so load to not show popup nan,sd customerinvoicing&ar(mbil) r2r so load to not show popup nan,customerinvoicing&ar(mbil),sd,customerinvoicing,8,9,10,3,41,10
936,r2r enhancement called from alv f4 fields nan,hcm r2r enhancement called from alv f4 fields nan,hr hcm r2r enhancement called from alv f4 fields nan,hcm,hr,hcm,8,9,10,7,21,15
937,r2r credit debit amount fields for fagl003 nan,generalaccountingconsolidation&reporting r2r credit debit amount fields for fagl003 nan,gl generalaccountingconsolidation&reporting r2r credit debit amount fields for fagl003 nan,generalaccountingconsolidation&reporting,gl,generalaccounting,8,9,10,6,17,14
938,r2r customer invoice creation nan,customerinvoicing&ar(mbil) r2r customer invoice creation nan,sd customerinvoicing&ar(mbil) r2r customer invoice creation nan,customerinvoicing&ar(mbil),sd,customerinvoicing,5,6,7,3,41,10
939,r2r change wtax while posting document nan,generalaccountingconsolidation&reporting r2r change wtax while posting document nan,gl generalaccountingconsolidation&reporting r2r change wtax while posting document nan,generalaccountingconsolidation&reporting,gl,generalaccounting,7,8,9,6,17,14
940,r2r transwork enhancement nan,managementcostaccounting r2r transwork enhancement nan,co managementcostaccounting r2r transwork enhancement nan,managementcostaccounting,co,costaccounting&control,4,5,6,8,10,8
941,r2r user should not post service entry sheet from simualtion mir nan,sourcetopay r2r user should not post service entry sheet from simualtion mir nan,mm sourcetopay r2r user should not post service entry sheet from simualtion mir nan,sourcetopay,mm,servicemanagement,12,13,14,12,29,35
942,r2r update bseg-sgtxt on powerplant file nan,generalaccountingconsolidation&reporting r2r update bseg-sgtxt on powerplant file nan,gl generalaccountingconsolidation&reporting r2r update bseg-sgtxt on powerplant file nan,generalaccountingconsolidation&reporting,gl,generalaccounting,7,8,9,6,17,14
943,r2r default accounting clerk nan,generalaccountingconsolidation&reporting r2r default accounting clerk nan,gl generalaccountingconsolidation&reporting r2r default accounting clerk nan,generalaccountingconsolidation&reporting,gl,generalaccounting,5,6,7,6,17,14
944,r2r to enable text nan,vendorinvoicing&ap r2r to enable text nan,ap vendorinvoicing&ap r2r to enable text nan,vendorinvoicing&ap,ap,vendorinvoicing,5,6,7,15,1,38
945,r2r copy control for assignment nan,customerinvoicing&ar(mbil) r2r copy control for assignment nan,sd customerinvoicing&ar(mbil) r2r copy control for assignment nan,customerinvoicing&ar(mbil),sd,customerinvoicing,6,7,8,3,41,10
946,r2r business area for z14 ord type in class cl_ex_badi_sd_sales_ nan,customerinvoicing&ar(mbil) r2r business area for z14 ord type in class cl_ex_badi_sd_sales_ nan,sd customerinvoicing&ar(mbil) r2r business area for z14 ord type in class cl_ex_badi_sd_sales_ nan,customerinvoicing&ar(mbil),sd,customerinvoicing,11,12,13,3,41,10
947,r2r zbadi_doc_post nan,generalaccountingconsolidation&reporting r2r zbadi_doc_post nan,gl generalaccountingconsolidation&reporting r2r zbadi_doc_post nan,generalaccountingconsolidation&reporting,gl,generalaccounting,3,4,5,6,17,14
948,r2r user should not post doc on simulation nan,generalaccountingconsolidation&reporting r2r user should not post doc on simulation nan,gl generalaccountingconsolidation&reporting r2r user should not post doc on simulation nan,generalaccountingconsolidation&reporting,gl,generalaccounting,9,10,11,6,17,14
949,r2r copy kostl from sales doc to billing nan,customerinvoicing&ar(mbil) r2r copy kostl from sales doc to billing nan,sd customerinvoicing&ar(mbil) r2r copy kostl from sales doc to billing nan,customerinvoicing&ar(mbil),sd,customerinvoicing,9,10,11,3,41,10
950,r2r check idoc_status table before proceeding further nan,vendorinvoicing&ap r2r check idoc_status table before proceeding further nan,ap vendorinvoicing&ap r2r check idoc_status table before proceeding further nan,vendorinvoicing&ap,ap,vendorinvoicing,8,9,10,15,1,38
951,r2r vendor creation nan,vendorinvoicing&ap r2r vendor creation nan,ap vendorinvoicing&ap r2r vendor creation nan,vendorinvoicing&ap,ap,vendormaintenance,4,5,6,15,1,39
952,r2r block deliveries for billing nan,customerinvoicing&ar(mbil) r2r block deliveries for billing nan,sd customerinvoicing&ar(mbil) r2r block deliveries for billing nan,customerinvoicing&ar(mbil),sd,customerinvoicing,6,7,8,3,41,10
953,r2r aar automation pricing condition value nan,customerinvoicing&ar(mbil) r2r aar automation pricing condition value nan,sd customerinvoicing&ar(mbil) r2r aar automation pricing condition value nan,customerinvoicing&ar(mbil),sd,customerinvoicing,7,8,9,3,41,10
954,r2r billing plan nan,customerinvoicing&ar(mbil) r2r billing plan nan,sd customerinvoicing&ar(mbil) r2r billing plan nan,customerinvoicing&ar(mbil),sd,customerinvoicing,4,5,6,3,41,10
955,r2r creation of fi document for aar sorder nan,customerinvoicing&ar(mbil) r2r creation of fi document for aar sorder nan,sd customerinvoicing&ar(mbil) r2r creation of fi document for aar sorder nan,customerinvoicing&ar(mbil),sd,customerinvoicing,9,10,11,3,41,10
956,r2r enhancement to populate parked invoice amount nan,generalaccountingconsolidation&reporting r2r enhancement to populate parked invoice amount nan,gl generalaccountingconsolidation&reporting r2r enhancement to populate parked invoice amount nan,generalaccountingconsolidation&reporting,gl,generalaccounting,8,9,10,6,17,14
957,r2r populate fax # if blank nan,customerinvoicing&ar(mbil) r2r populate fax # if blank nan,sd customerinvoicing&ar(mbil) r2r populate fax # if blank nan,customerinvoicing&ar(mbil),sd,customerinvoicing,7,8,9,3,41,10
958,r2r fix posting key nan,generalaccountingconsolidation&reporting r2r fix posting key nan,gl generalaccountingconsolidation&reporting r2r fix posting key nan,generalaccountingconsolidation&reporting,gl,generalaccounting,5,6,7,6,17,14
959,r2r wipe out mbdat for scrap orders nan,sourcetopay r2r wipe out mbdat for scrap orders nan,im sourcetopay r2r wipe out mbdat for scrap orders nan,sourcetopay,im,inventorymanagement,8,9,10,12,22,20
960,r2r zr2r_ench_payment_terms nan,generalaccountingconsolidation&reporting r2r zr2r_ench_payment_terms nan,gl generalaccountingconsolidation&reporting r2r zr2r_ench_payment_terms nan,generalaccountingconsolidation&reporting,gl,generalaccounting,3,4,5,6,17,14
961,r2r account derivation - treasury enhancement nan,treasuryoperations r2r account derivation - treasury enhancement nan,tr treasuryoperations r2r account derivation - treasury enhancement nan,treasuryoperations,tr,bankmanagement,7,8,9,13,44,5
962,r2r enhancement for overhead nan,customerinvoicing&ar(mbil) r2r enhancement for overhead nan,sd customerinvoicing&ar(mbil) r2r enhancement for overhead nan,customerinvoicing&ar(mbil),sd,customerinvoicing,5,6,7,3,41,10
963,r2r send jobcount when print bank statement to memory nan,vendorinvoicing&ap r2r send jobcount when print bank statement to memory nan,ap vendorinvoicing&ap r2r send jobcount when print bank statement to memory nan,vendorinvoicing&ap,ap,payablesandoutgoingpayments,10,11,12,15,1,27
964,r2r skipping tax check if belgien nan,vendorinvoicing&ap r2r skipping tax check if belgien nan,ap vendorinvoicing&ap r2r skipping tax check if belgien nan,vendorinvoicing&ap,ap,vendorinvoicing,7,8,9,15,1,38
965,r2r skipping tax check if brasilien nan,vendorinvoicing&ap r2r skipping tax check if brasilien nan,ap vendorinvoicing&ap r2r skipping tax check if brasilien nan,vendorinvoicing&ap,ap,vendorinvoicing,7,8,9,15,1,38
966,r2r skipping tax check if bulgaria nan,vendorinvoicing&ap r2r skipping tax check if bulgaria nan,ap vendorinvoicing&ap r2r skipping tax check if bulgaria nan,vendorinvoicing&ap,ap,vendorinvoicing,7,8,9,15,1,38
967,r2r copy kostl from sales doc to billing document nan,customerinvoicing&ar(mbil) r2r copy kostl from sales doc to billing document nan,sd customerinvoicing&ar(mbil) r2r copy kostl from sales doc to billing document nan,customerinvoicing&ar(mbil),sd,customerinvoicing,10,11,12,3,41,10
968,r2r skipping tax check if france nan,vendorinvoicing&ap r2r skipping tax check if france nan,ap vendorinvoicing&ap r2r skipping tax check if france nan,vendorinvoicing&ap,ap,vendorinvoicing,7,8,9,15,1,38
969,r2r r2r: activate additional authority checks nan,generalaccountingconsolidation&reporting r2r r2r: activate additional authority checks nan,gl generalaccountingconsolidation&reporting r2r r2r: activate additional authority checks nan,generalaccountingconsolidation&reporting,gl,generalaccounting,7,8,9,6,17,14
970,r2r include for additional data b in va03 nan,customerinvoicing&ar(mbil) r2r include for additional data b in va03 nan,sd customerinvoicing&ar(mbil) r2r include for additional data b in va03 nan,customerinvoicing&ar(mbil),sd,customerinvoicing,9,10,11,3,41,10
971,r2r p/s overhead calculation nan,fixedasset&projectaccounting r2r p/s overhead calculation nan,ps fixedasset&projectaccounting r2r p/s overhead calculation nan,fixedasset&projectaccounting,ps,capitalprojectaccounting,5,6,7,4,33,7
972,r2r apse 73: overhead calculation nan,fixedasset&projectaccounting r2r apse 73: overhead calculation nan,ps fixedasset&projectaccounting r2r apse 73: overhead calculation nan,fixedasset&projectaccounting,ps,capitalprojectaccounting,6,7,8,4,33,7
973,r2r sd pricing nan,customerinvoicing&ar(mbil) r2r sd pricing nan,sd customerinvoicing&ar(mbil) r2r sd pricing nan,customerinvoicing&ar(mbil),sd,customerinvoicing,4,5,6,3,41,10
974,r2r billing exit to populate zzzounr nan,customerinvoicing&ar(mbil) r2r billing exit to populate zzzounr nan,sd customerinvoicing&ar(mbil) r2r billing exit to populate zzzounr nan,customerinvoicing&ar(mbil),sd,customerinvoicing,7,8,9,3,41,10
975,r2r additional custom fields for approver field nan,vendorinvoicing&ap r2r additional custom fields for approver field nan,ap vendorinvoicing&ap r2r additional custom fields for approver field nan,vendorinvoicing&ap,ap,vendorinvoicing,8,9,10,15,1,38
976,r2r remove extra wht line for int xref2 nan,vendorinvoicing&ap r2r remove extra wht line for int xref2 nan,ap vendorinvoicing&ap r2r remove extra wht line for int xref2 nan,vendorinvoicing&ap,ap,1099withholdingtax,9,10,11,15,1,1
977,r2r custom approver fields in invoice creation screen nan,vendorinvoicing&ap r2r custom approver fields in invoice creation screen nan,ap vendorinvoicing&ap r2r custom approver fields in invoice creation screen nan,vendorinvoicing&ap,ap,vendorinvoicing,9,10,11,15,1,38
978,r2r enhancement for appropriation request save nan,fixedasset&projectaccounting r2r enhancement for appropriation request save nan,ps fixedasset&projectaccounting r2r enhancement for appropriation request save nan,fixedasset&projectaccounting,ps,projectaccountingforenvironmentalremediation,7,8,9,4,33,30
979,r2r badi implementation for note 301117/im02616414 nan,customerinvoicing&ar(mbil) r2r badi implementation for note 301117/im02616414 nan,sd customerinvoicing&ar(mbil) r2r badi implementation for note 301117/im02616414 nan,customerinvoicing&ar(mbil),sd,customerinvoicing,7,8,9,3,41,10
980,r2r protect screen fields nan,vendorinvoicing&ap r2r protect screen fields nan,ap vendorinvoicing&ap r2r protect screen fields nan,vendorinvoicing&ap,ap,vendorinvoicing,5,6,7,15,1,38
981,r2r enhancement point for journal entry upload (apse 115) nan,generalaccountingconsolidation&reporting r2r enhancement point for journal entry upload (apse 115) nan,gl generalaccountingconsolidation&reporting r2r enhancement point for journal entry upload (apse 115) nan,generalaccountingconsolidation&reporting,gl,generalaccounting,10,11,12,6,17,14
982,r2r enhancement called from alv f4 fields nan,misc r2r enhancement called from alv f4 fields nan,sd misc r2r enhancement called from alv f4 fields nan,misc,sd,misc,8,9,10,10,41,23
983,r2r pin_sec enhancement nan,misc r2r pin_sec enhancement nan,misc misc r2r pin_sec enhancement nan,misc,misc,misc,4,5,6,10,28,23
984,r2r ds138 : match withholding tax nan,misc r2r ds138 : match withholding tax nan,ap misc r2r ds138 : match withholding tax nan,misc,ap,nan,7,8,9,10,1,24
985,r2r disable post + save as complete button for non-authorized us nan,misc r2r disable post + save as complete button for non-authorized us nan,gl misc r2r disable post + save as complete button for non-authorized us nan,misc,gl,misc,12,13,14,10,17,23
986,r2r change wtax details nan,misc r2r change wtax details nan,ap misc r2r change wtax details nan,misc,ap,misc,5,6,7,10,1,23
987,r2r withholding tax nan,misc r2r withholding tax nan,ap misc r2r withholding tax nan,misc,ap,misc,4,5,6,10,1,23
988,r2r enhancement to modify field catalog to display total amount nan,misc r2r enhancement to modify field catalog to display total amount nan,gl misc r2r enhancement to modify field catalog to display total amount nan,misc,gl,misc,11,12,13,10,17,23
989,r2r tax jur. code from address nan,sourcetopay r2r tax jur. code from address nan,srm sourcetopay r2r tax jur. code from address nan,sourcetopay,srm,purchaseorder,7,8,9,12,42,31
990,r2r rrb refbn nan,customerinvoicing&ar(mbil) r2r rrb refbn nan,sd customerinvoicing&ar(mbil) r2r rrb refbn nan,customerinvoicing&ar(mbil),sd,customerinvoicing,4,5,6,3,41,10
